Subject,Profit,Role,endowment,choice,Belief,TimeCQ,CountCQ,SVO,Studium,Semesterzahl,Alter,Geschlecht,Session
230,19.52,1,19,1,0,3,0,0.304847092984357,"Fachhochschule Jena, Elektrotechnik/Automatisierungstechnik",1,22,0,8
231,19.7,1,19,1,0,3,0,0.136402604400947,Kommunikationswissenschaften (KF) + Psychologie (EF),1,19,1,8
232,16,1,19,5,0,3,0,0.608689307327412,Sportwissenschaft,6,24,0,8
233,18,1,19,3,0,3,0,0.647392139739929,Anglistik / Amerikanistik,3,22,0,8
234,11.7,0,11,1,0,3,0,0.513695226706809,Sozialwissenschaftliche Fakultät/ Soziologie,1,22,0,8
235,20,1,19,1,0,3,0,-0.136402604400947,Germanistik/Psychologie,1,19,1,8
236,20,1,19,1,1,3,1,0.55165498252854706,Kommunikationswissenschaft,1,20,1,8
237,17.7,1,19,3,0,3,0,0.440305545745623,Psychologie,7,22,1,8
238,8,0,11,5,0,3,0,0.654191491000836,Wirtschaftsmathematik,1,20,0,8
239,11.76,0,11,1,0,3,0,0.384331913155797,Soziologie,3,20,1,8
240,11,0,11,1,0,3,0,0.270094153891918,FSU Jena / Deutsch als Fremdsprache,3,24,1,8
241,16.3,1,19,3,0,3,0,0.136402604400947,Sozialwissenschaften/ Poltikwissenschaft,3,21,1,8
242,18.3,1,19,1,0,3,0,0.538325993210412,Wirtschaftsmathe,1,20,0,8
243,11.7,0,11,1,0,3,1,0.654191491000836,kommunikation,6,23,1,8
244,11.7,0,11,1,0,3,0,0.300262079920771,Geologie,12,33,0,8
245,16.72,1,19,3,0,3,0,0.654191491000836,Rechtswissenschaft (Volljurist),10,25,1,8
246,17.7,1,19,3,0,10,1,0.193959147259893,WiWi,3,29,1,8
247,19,1,19,1,0,3,4,0.712969874154356,BWL (Studium ist aber schon längst vorbei ;) ),8,33,0,8
248,11,0,11,1,1,3,0,0.654191491000836,Erziehungswissenschaft,3,21,1,8
249,11.7,0,11,1,0,3,0,0.136402604400947,Biotechnologie,1,20,1,8
250,11,0,11,1,1,3,0,0.608689307327412,Sozial- und Verhaltenswissenschaften / Sportwissenschaft,5,23,0,8
251,11,0,11,1,0,3,1,0.654191491000836,BWL,7,22,0,8
252,11.7,0,11,1,0,10,0,0.654191491000836,Biologisch-Pharmazeutische Fakultät / Ernährungswissenschaften,1,19,1,8
253,17,1,19,3,0,3,1,0.136402604400947,FSU/Medizin,9,29,1,8
254,11.26,0,11,1,0,10,2,0.476467419473707,Wirtschaftsingenieurwesen,2,20,0,8
